"Donate ID","Donate Date","Gender","Deposit Amount","Preferred Color of Device","Ice Cream Products Consumed Per Week","Favorite Flavor Of Ice Cream","Donated To Kick Starter Before","Household Income","Do you own a Keurig","How many desserts do you eat a week","Purchased"
1530,2019-07-01,"female",100,"no preference",2,"vanilla","yes",">100K","yes",10,1
1531,2019-07-01,"male",100,"white",4,"vanilla","no","Not Reported","yes",8,1
1532,2019-07-01,"female",100,"no preference",9,"swirl","no",">100K","yes",9,1
1533,2019-07-01,"male",100,"blue",6,"vanilla","yes","Not Reported","yes",6,1
1534,2019-07-01,"female",100,"silver",6,"chocolate","no",">100K","yes",9,1
1535,2019-07-01,"female",100,"blue",4,"chocolate","yes",">100K","yes",5,1
1536,2019-07-01,"female",100,"blue",8,"no preference","no",">100K","yes",8,1
1537,2019-07-01,"female",100,"no preference",4,"chocolate","yes",">100K","yes",10,1
1538,2019-07-01,"female",100,"white",7,"vanilla","no",">100K","yes",7,1
1539,2019-07-01,"female",100,"blue",4,"vanilla","yes",">100K","yes",7,1
1540,2019-07-01,"female",100,"red",2,"vanilla","yes",">100K","yes",3,1
1541,2019-07-01,"female",100,"black",7,"vanilla","no",">100K","yes",8,1
1542,2019-07-01,"male",100,"black",4,"no preference","yes","Not Reported","yes",4,1
1543,2019-07-01,"male",100,"red",3,"swirl","no","Not Reported","yes",4,1
1544,2019-07-01,"female",100,"red",4,"no preference","yes",">100K","yes",7,1
1545,2019-07-01,"female",100,"red",4,"specialty","no",">100K","yes",5,1
1546,2019-07-01,"male",100,"silver",9,"vanilla","yes","Not Reported","yes",9,1
1547,2019-07-01,"female",100,"silver",0,"vanilla","yes",">100K","yes",5,1
1548,2019-07-01,"female",100,"white",4,"no preference","yes",">100K","yes",8,1
1549,2019-07-01,"female",100,"blue",0,"specialty","no",">100K","yes",8,1
1550,2019-07-01,"male",100,"silver",2,"no preference","yes","Not Reported","yes",5,0
1551,2019-07-01,"female",100,"silver",7,"no preference","yes",">100K","yes",7,1
1552,2019-07-01,"male",100,"silver",5,"specialty","no","Not Reported","yes",6,0
1553,2019-07-01,"male",100,"black",4,"swirl","yes","Not Reported","yes",4,0
1554,2019-07-01,"female",100,"white",7,"chocolate","yes",">100K","no",7,1
1555,2019-07-01,"female",100,"no preference",1,"swirl","no",">100K","no",9,1
1556,2019-07-01,"male",100,"black",6,"no preference","no","Not Reported","no",6,0
1557,2019-07-01,"female",100,"blue",10,"vanilla","no",">100K","no",10,1
1558,2019-07-01,"female",100,"black",0,"swirl","yes",">100K","no",4,1
1559,2019-07-01,"female",100,"black",6,"no preference","no",">100K","no",6,1
1560,2019-07-01,"male",100,"white",7,"vanilla","no","Not Reported","no",7,0
1561,2019-07-01,"female",100,"white",10,"vanilla","yes",">100K","no",10,1
1562,2019-07-01,"female",100,"white",1,"no preference","no",">100K","no",4,1
1563,2019-07-01,"female",100,"black",9,"chocolate","no",">100K","no",10,1
1564,2019-07-01,"female",100,"white",5,"specialty","no",">100K","no",10,1
1565,2019-07-01,"female",100,"blue",3,"vanilla","yes",">100K","no",7,1
1566,2019-07-01,"male",100,"blue",4,"chocolate","no","Not Reported","no",8,1
1567,2019-07-01,"female",100,"white",2,"swirl","no",">100K","no",2,1
1568,2019-07-01,"male",100,"no preference",5,"no preference","no","Not Reported","no",7,0
1569,2019-07-01,"female",100,"no preference",2,"no preference","yes",">100K","no",2,1
1570,2019-07-01,"female",100,"no preference",8,"specialty","no",">100K","no",9,1
1571,2019-07-01,"female",100,"red",3,"swirl","no",">100K","no",6,1
1572,2019-07-01,"female",100,"white",10,"vanilla","no",">100K","no",10,1
1573,2019-07-01,"female",100,"black",7,"specialty","no",">100K","no",8,1
1574,2019-07-01,"male",100,"blue",5,"chocolate","yes","Not Reported","no",5,1
1575,2019-07-01,"female",100,"silver",5,"specialty","no",">100K","no",7,1
1576,2019-07-01,"male",100,"white",10,"vanilla","yes","Not Reported","no",10,1
1577,2019-07-01,"female",100,"red",5,"vanilla","no",">100K","no",9,1
1578,2019-07-01,"female",100,"black",9,"no preference","no",">100K","no",9,1
1579,2019-07-01,"female",100,"no preference",1,"no preference","yes",">100K","no",5,1
1580,2019-07-01,"female",100,"blue",3,"vanilla","no",">100K","no",4,1
1581,2019-07-01,"male",100,"red",4,"swirl","no","Not Reported","no",6,1
1582,2019-07-01,"male",100,"no preference",8,"chocolate","no","Not Reported","no",8,0
1583,2019-07-01,"female",100,"red",7,"chocolate","yes",">100K","no",7,1
1584,2019-07-01,"female",100,"red",2,"no preference","yes",">100K","no",7,1
1585,2019-07-01,"female",100,"silver",0,"chocolate","no",">100K","no",7,1
1586,2019-07-01,"female",100,"silver",4,"swirl","yes",">100K","no",4,1
1587,2019-07-01,"male",100,"silver",5,"no preference","no","Not Reported","no",7,0
1588,2019-07-01,"female",100,"black",8,"swirl","yes",">100K","no",8,1
1589,2019-07-01,"male",100,"blue",2,"vanilla","yes","Not Reported","no",7,0
1590,2019-07-01,"female",100,"red",9,"specialty","yes",">100K","no",9,1
1591,2019-07-01,"female",100,"no preference",5,"vanilla","yes",">100K","no",9,1
1592,2019-07-01,"female",100,"silver",1,"swirl","yes",">100K","no",9,1
1593,2019-07-01,"female",100,"silver",1,"vanilla","yes",">100K","no",10,1
1594,2019-07-01,"female",100,"black",1,"vanilla","yes",">100K","no",6,1
1595,2019-07-01,"female",100,"white",4,"vanilla","no",">100K","no",10,1
1596,2019-07-01,"female",100,"no preference",6,"no preference","no",">100K","no",6,1
1597,2019-07-01,"female",100,"no preference",4,"chocolate","yes",">100K","no",10,1
1598,2019-07-01,"female",100,"blue",5,"specialty","yes",">100K","no",5,1
1599,2019-07-01,"female",100,"red",3,"no preference","no",">100K","no",9,1
1600,2019-07-01,"male",100,"blue",8,"chocolate","yes","Not Reported","no",8,1
1601,2019-07-01,"male",100,"blue",0,"specialty","no","Not Reported","no",8,1
1602,2019-07-01,"male",100,"white",8,"vanilla","no","Not Reported","no",8,1
1603,2019-07-01,"female",100,"red",3,"specialty","yes",">100K","no",6,1
1604,2019-07-01,"female",100,"silver",7,"vanilla","yes",">100K","no",7,1
1605,2019-07-01,"male",100,"black",9,"vanilla","no","Not Reported","no",9,1
1606,2019-07-01,"female",100,"silver",3,"no preference","yes",">100K","no",3,1
1607,2019-07-01,"male",100,"no preference",7,"no preference","no","Not Reported","no",7,0
1608,2019-07-01,"female",100,"silver",1,"chocolate","yes",">100K","no",6,1
1609,2019-07-01,"female",100,"white",1,"specialty","no",">100K","no",1,1
1610,2019-07-01,"female",100,"blue",10,"swirl","no",">100K","no",10,1
1611,2019-07-01,"female",100,"blue",7,"swirl","no",">100K","no",7,1
1612,2019-07-01,"female",100,"white",6,"no preference","no",">100K","no",6,1
1613,2019-07-01,"male",100,"black",7,"chocolate","yes","Not Reported","no",7,1
1614,2019-07-01,"female",100,"white",8,"chocolate","no",">100K","no",9,1
1615,2019-07-01,"male",100,"blue",4,"vanilla","no","Not Reported","no",4,1
1616,2019-07-01,"female",100,"no preference",3,"swirl","no",">100K","no",3,1
1617,2019-07-01,"female",100,"red",1,"specialty","yes",">100K","no",8,1
1618,2019-07-01,"female",100,"silver",3,"chocolate","yes",">100K","no",6,1
1619,2019-07-01,"female",100,"no preference",3,"chocolate","no",">100K","no",10,1
1620,2019-07-01,"male",100,"black",7,"swirl","no","Not Reported","no",9,1
1621,2019-07-01,"male",100,"silver",10,"vanilla","no","Not Reported","no",10,1
1622,2019-07-01,"female",100,"silver",3,"no preference","no",">100K","no",9,1
1623,2019-07-01,"male",100,"no preference",2,"no preference","no","Not Reported","no",9,0
1624,2019-07-01,"female",100,"blue",5,"swirl","no",">100K","no",10,1
1625,2019-07-01,"female",100,"black",1,"vanilla","yes",">100K","no",9,1
1626,2019-07-01,"female",100,"blue",5,"specialty","yes",">100K","no",8,1
1627,2019-07-01,"female",100,"red",1,"vanilla","yes",">100K","no",2,1
1628,2019-07-01,"male",100,"no preference",3,"swirl","no","Not Reported","no",6,0
1629,2019-07-01,"female",100,"black",7,"specialty","yes",">100K","no",8,1
1630,2019-07-01,"female",100,"no preference",2,"swirl","no",">100K","no",8,1
1631,2019-07-01,"female",100,"no preference",3,"specialty","yes",">100K","no",7,1
1632,2019-07-01,"male",100,"black",8,"swirl","no","Not Reported","no",8,1
1633,2019-07-01,"female",100,"black",8,"vanilla","no",">100K","no",8,1
1634,2019-07-01,"male",100,"no preference",10,"chocolate","yes","Not Reported","no",10,0
1635,2019-07-01,"male",100,"red",5,"vanilla","no","Not Reported","no",6,0
1636,2019-07-01,"male",100,"red",2,"specialty","no","Not Reported","no",5,1
1637,2019-07-01,"female",100,"no preference",7,"vanilla","yes",">100K","no",7,1
1638,2019-07-01,"male",100,"no preference",7,"specialty","no","Not Reported","no",7,0
1639,2019-07-01,"female",100,"white",10,"no preference","yes",">100K","no",10,1
1640,2019-07-01,"female",100,"red",2,"chocolate","no",">100K","no",8,1
1641,2019-07-01,"male",100,"silver",6,"vanilla","no","Not Reported","no",6,1
1642,2019-07-01,"male",100,"blue",1,"swirl","yes","Not Reported","no",4,1
1643,2019-07-01,"female",100,"black",10,"specialty","yes",">100K","no",10,1
1644,2019-07-01,"female",100,"black",9,"swirl","yes",">100K","no",9,1
1645,2019-07-01,"male",100,"red",0,"chocolate","no","Not Reported","no",6,1
1646,2019-07-01,"female",100,"silver",4,"no preference","yes",">100K","no",8,1
1647,2019-07-01,"female",100,"blue",0,"chocolate","yes",">100K","no",6,1
1648,2019-07-01,"female",100,"red",8,"chocolate","no",">100K","no",8,1
1649,2019-07-01,"male",100,"silver",6,"chocolate","yes","Not Reported","no",10,1
1650,2019-07-01,"male",100,"red",2,"no preference","no","Not Reported","no",3,0
1651,2019-07-01,"female",100,"silver",2,"vanilla","no",">100K","no",9,1
1652,2019-07-01,"male",100,"no preference",9,"swirl","no","Not Reported","no",10,0
1653,2019-07-01,"male",100,"silver",10,"vanilla","no","Not Reported","no",10,1
1654,2019-07-01,"male",100,"no preference",9,"vanilla","yes","Not Reported","no",9,0
1655,2019-07-01,"male",100,"black",5,"no preference","yes","Not Reported","no",5,0
1656,2019-07-01,"female",100,"red",7,"vanilla","no",">100K","no",7,1
1657,2019-07-01,"female",100,"blue",4,"specialty","no",">100K","no",4,1
1658,2019-07-01,"female",100,"red",5,"vanilla","no",">100K","no",5,1
1659,2019-07-01,"female",100,"no preference",1,"chocolate","yes",">100K","no",8,1
1660,2019-07-01,"male",100,"no preference",6,"chocolate","no","Not Reported","no",6,0
1661,2019-07-01,"male",100,"no preference",9,"chocolate","no","Not Reported","no",9,0
1662,2019-07-01,"male",100,"no preference",8,"vanilla","no","Not Reported","no",8,0
1663,2019-07-01,"male",100,"no preference",3,"swirl","yes","Not Reported","no",3,0
1664,2019-07-01,"male",100,"blue",6,"no preference","no","Not Reported","no",9,0
1665,2019-07-01,"female",100,"silver",9,"vanilla","yes",">100K","no",9,1
1666,2019-07-01,"female",100,"black",7,"specialty","yes",">100K","no",7,1
1667,2019-07-01,"female",100,"white",10,"chocolate","no",">100K","no",10,1
1668,2019-07-01,"female",100,"no preference",5,"vanilla","yes",">100K","no",8,1
1669,2019-07-01,"male",100,"white",9,"swirl","yes","Not Reported","no",9,1
1670,2019-07-01,"female",100,"blue",3,"specialty","no",">100K","no",8,1
1671,2019-07-01,"female",100,"red",5,"vanilla","yes",">100K","no",5,1
1672,2019-07-01,"female",100,"silver",1,"specialty","no",">100K","no",10,1
1673,2019-07-01,"male",100,"no preference",4,"specialty","no","Not Reported","no",6,0
1674,2019-07-01,"male",100,"blue",2,"specialty","no","Not Reported","no",2,1
1675,2019-07-01,"male",100,"red",10,"swirl","no","Not Reported","no",10,1
1676,2019-07-01,"female",100,"no preference",0,"swirl","no",">100K","no",5,1
1677,2019-07-01,"female",100,"blue",1,"specialty","no",">100K","no",10,1
1678,2019-07-01,"female",100,"black",9,"swirl","yes",">100K","no",9,1
1679,2019-07-01,"female",100,"silver",1,"chocolate","yes",">100K","no",5,1
1680,2019-07-01,"male",100,"blue",4,"no preference","no","Not Reported","no",10,0
1681,2019-07-01,"male",100,"red",2,"chocolate","no","Not Reported","no",9,1
1682,2019-07-01,"female",100,"no preference",5,"vanilla","yes",">100K","no",5,1
1683,2019-07-01,"male",100,"black",1,"specialty","yes","Not Reported","no",8,1
1684,2019-07-01,"female",100,"black",10,"chocolate","no",">100K","no",10,1
1685,2019-07-01,"male",100,"blue",10,"chocolate","no","Not Reported","no",10,1
1686,2019-07-01,"female",100,"no preference",5,"swirl","no",">100K","no",5,1
1687,2019-07-01,"female",100,"silver",4,"swirl","yes",">100K","no",4,1
1688,2019-07-01,"female",100,"no preference",7,"no preference","yes",">100K","no",7,1
1689,2019-07-01,"female",100,"no preference",5,"chocolate","no",">100K","no",8,1
1690,2019-07-01,"male",100,"red",10,"specialty","no","Not Reported","no",10,1
1691,2019-07-01,"male",100,"no preference",8,"specialty","yes","Not Reported","no",8,0
1692,2019-07-01,"male",100,"no preference",9,"chocolate","yes","Not Reported","no",9,0
1693,2019-07-01,"male",100,"silver",5,"chocolate","no","Not Reported","no",5,1
1694,2019-07-01,"male",100,"red",10,"vanilla","no","Not Reported","no",10,1
1695,2019-07-01,"male",100,"black",4,"specialty","no","Not Reported","no",4,1
1696,2019-07-01,"female",100,"no preference",7,"vanilla","no",">100K","no",10,1
1697,2019-07-01,"male",100,"silver",9,"vanilla","yes","Not Reported","no",9,1
1698,2019-07-01,"male",100,"red",1,"specialty","no","Not Reported","no",4,1
1699,2019-07-01,"male",100,"red",2,"specialty","yes","Not Reported","no",3,1
1700,2019-07-01,"female",100,"blue",2,"vanilla","yes",">100K","no",10,1
1701,2019-07-01,"male",100,"black",3,"chocolate","yes","Not Reported","no",6,1
1702,2019-07-01,"male",100,"black",7,"no preference","yes","Not Reported","no",10,0
1703,2019-07-01,"female",100,"blue",0,"chocolate","no",">100K","no",5,1
1704,2019-07-01,"male",100,"white",2,"specialty","yes","Not Reported","no",10,1
1705,2019-07-01,"female",100,"silver",5,"specialty","no",">100K","no",5,1
1706,2019-07-01,"male",100,"no preference",5,"specialty","no","Not Reported","no",8,0
1707,2019-07-01,"female",100,"silver",2,"vanilla","no",">100K","no",7,1
1708,2019-07-01,"female",100,"blue",8,"swirl","no",">100K","no",8,1
1709,2019-07-01,"male",100,"silver",10,"no preference","yes","Not Reported","no",10,1
1710,2019-07-01,"female",100,"silver",0,"chocolate","no",">100K","no",8,1
1711,2019-07-01,"male",100,"black",7,"swirl","yes","Not Reported","no",7,0
1712,2019-07-01,"female",100,"no preference",1,"specialty","no",">100K","no",3,1
1713,2019-07-01,"male",100,"red",1,"vanilla","yes","Not Reported","no",6,1
1714,2019-07-01,"male",100,"white",1,"specialty","yes","Not Reported","no",5,0
1715,2019-07-01,"female",100,"red",3,"vanilla","no",">100K","no",5,1
1716,2019-07-01,"male",100,"no preference",5,"swirl","no","Not Reported","no",5,0
1717,2019-07-01,"female",100,"white",6,"vanilla","yes",">100K","no",6,1
1718,2019-07-01,"male",100,"white",8,"swirl","yes","Not Reported","no",9,1
1719,2019-07-01,"female",100,"silver",10,"swirl","no",">100K","no",10,1
1720,2019-07-01,"female",100,"no preference",4,"vanilla","no",">100K","no",6,1
1721,2019-07-01,"female",100,"red",2,"chocolate","no",">100K","no",9,1
1722,2019-07-01,"male",100,"blue",7,"specialty","yes","Not Reported","no",7,0
1723,2019-07-01,"male",100,"silver",8,"vanilla","yes","Not Reported","no",8,1
1724,2019-07-01,"female",100,"silver",4,"specialty","no",">100K","no",4,1
1725,2019-07-01,"female",100,"black",5,"swirl","yes",">100K","no",5,1
1726,2019-07-01,"female",100,"no preference",6,"no preference","yes",">100K","no",6,1
1727,2019-07-01,"male",100,"black",1,"specialty","no","Not Reported","no",8,1
1728,2019-07-01,"female",100,"no preference",2,"chocolate","yes",">100K","no",9,1
1729,2019-07-01,"male",100,"blue",9,"chocolate","no","Not Reported","no",9,1
1730,2019-07-01,"male",100,"blue",7,"specialty","yes","Not Reported","no",8,1
1731,2019-07-01,"male",100,"black",1,"vanilla","yes","Not Reported","no",9,1
1732,2019-07-01,"female",100,"blue",10,"specialty","yes",">100K","no",10,1
1733,2019-07-01,"male",100,"white",8,"chocolate","no","Not Reported","no",10,1
1734,2019-07-01,"male",100,"black",6,"specialty","yes","Not Reported","no",8,1
1735,2019-07-01,"female",100,"white",10,"chocolate","yes",">100K","no",10,1
1736,2019-07-01,"female",100,"blue",1,"no preference","no",">100K","no",5,1
1737,2019-07-01,"male",100,"blue",3,"no preference","no","Not Reported","no",4,1
1738,2019-07-01,"male",100,"black",3,"vanilla","yes","Not Reported","no",8,1
1739,2019-07-01,"male",100,"red",7,"specialty","yes","Not Reported","no",9,1
1740,2019-07-01,"female",100,"no preference",10,"specialty","no",">100K","no",10,1
1741,2019-07-01,"female",100,"red",10,"specialty","no",">100K","no",10,1
1742,2019-07-01,"male",100,"blue",10,"no preference","no","Not Reported","no",10,0
1743,2019-07-01,"male",100,"white",1,"no preference","no","Not Reported","no",1,0
1744,2019-07-01,"female",100,"silver",2,"chocolate","yes",">100K","no",9,1
1745,2019-07-01,"female",100,"blue",1,"swirl","no",">100K","no",7,1
1746,2019-07-01,"male",100,"white",4,"vanilla","yes","Not Reported","no",7,0
1747,2019-07-01,"male",100,"no preference",10,"specialty","no","Not Reported","no",10,0
1748,2019-07-01,"female",100,"no preference",7,"specialty","yes",">100K","no",7,1
1749,2019-07-01,"female",100,"red",4,"swirl","no",">100K","no",8,1
1750,2019-07-01,"male",100,"silver",6,"no preference","yes","Not Reported","no",9,0
1751,2019-07-01,"female",100,"blue",10,"chocolate","no",">100K","no",10,1
1752,2019-07-01,"female",100,"no preference",9,"no preference","no",">100K","no",9,1
1753,2019-07-01,"female",100,"red",5,"vanilla","yes",">100K","no",7,1
1754,2019-07-01,"female",100,"red",8,"vanilla","no",">100K","no",9,1
1755,2019-07-01,"female",100,"no preference",6,"vanilla","yes",">100K","no",9,1
1756,2019-07-01,"female",100,"white",3,"specialty","no",">100K","no",9,1
1757,2019-07-01,"female",100,"no preference",8,"swirl","yes",">100K","no",9,1
1758,2019-07-01,"female",100,"no preference",9,"chocolate","no",">100K","no",10,1
1759,2019-07-01,"female",100,"silver",3,"vanilla","no",">100K","no",3,1
1760,2019-07-01,"male",100,"silver",0,"specialty","no","Not Reported","no",1,1
1761,2019-07-01,"female",100,"silver",6,"swirl","no",">100K","no",9,1
1762,2019-07-01,"female",100,"black",3,"chocolate","no",">100K","no",3,1
1763,2019-07-01,"male",100,"blue",4,"chocolate","yes","Not Reported","no",5,1
1764,2019-07-01,"female",100,"no preference",6,"specialty","no",">100K","no",10,1
1765,2019-07-01,"male",100,"black",0,"swirl","yes","Not Reported","no",2,1
1766,2019-07-01,"female",100,"white",2,"swirl","yes",">100K","no",3,1
1767,2019-07-01,"female",100,"silver",3,"no preference","no",">100K","no",4,1
1768,2019-07-01,"female",100,"red",3,"chocolate","yes",">100K","no",5,1
1769,2019-07-01,"male",100,"silver",2,"chocolate","yes","Not Reported","no",8,1
1770,2019-07-01,"male",100,"silver",7,"no preference","yes","Not Reported","no",7,0
1771,2019-07-01,"female",100,"black",3,"no preference","yes",">100K","no",3,1
1772,2019-07-01,"female",100,"red",8,"no preference","yes",">100K","no",8,1
1773,2019-07-01,"female",100,"blue",3,"no preference","yes",">100K","no",4,1
1774,2019-07-01,"male",100,"red",9,"no preference","no","Not Reported","no",9,0
1775,2019-07-01,"female",100,"silver",5,"specialty","no",">100K","no",8,1
1776,2019-07-01,"female",100,"white",8,"swirl","no",">100K","no",8,1
1777,2019-07-01,"male",100,"no preference",5,"vanilla","yes","Not Reported","no",10,0
1778,2019-07-01,"male",100,"black",6,"chocolate","yes","Not Reported","no",6,1
1779,2019-07-01,"male",100,"blue",5,"swirl","no","Not Reported","no",8,1
1780,2019-07-01,"female",100,"red",10,"no preference","yes",">100K","no",10,1
1781,2019-07-01,"female",100,"silver",9,"no preference","no",">100K","no",9,1
1782,2019-07-01,"male",100,"white",3,"specialty","yes","Not Reported","no",5,0
1783,2019-07-01,"female",100,"silver",9,"chocolate","no",">100K","no",9,1
1784,2019-07-01,"male",100,"blue",8,"swirl","no","Not Reported","no",8,1
1785,2019-07-01,"male",100,"silver",6,"vanilla","no","Not Reported","no",6,1
1786,2019-07-01,"male",100,"no preference",1,"specialty","no","Not Reported","no",10,0
1787,2019-07-01,"female",100,"no preference",9,"swirl","no",">100K","no",9,1
1788,2019-07-01,"female",100,"black",5,"chocolate","no",">100K","no",9,1
1789,2019-07-01,"female",100,"no preference",10,"specialty","yes",">100K","no",10,1
1790,2019-07-01,"female",100,"no preference",9,"specialty","no",">100K","no",10,1
1791,2019-07-01,"male",100,"red",3,"swirl","no","Not Reported","no",6,1
1792,2019-07-01,"male",100,"silver",4,"no preference","no","Not Reported","no",4,1
1793,2019-07-01,"female",100,"white",4,"no preference","yes",">100K","no",5,1
1794,2019-07-01,"female",100,"black",3,"vanilla","no",">100K","no",7,1
1795,2019-07-01,"male",100,"red",9,"specialty","yes","Not Reported","no",9,1
1796,2019-07-01,"female",100,"silver",2,"swirl","no",">100K","no",6,1
1797,2019-07-01,"female",100,"red",0,"chocolate","no",">100K","no",3,1
1798,2019-07-01,"female",100,"no preference",1,"no preference","no",">100K","no",10,1
1799,2019-07-01,"male",100,"white",6,"swirl","yes","Not Reported","no",7,0
1800,2019-07-01,"female",100,"blue",4,"chocolate","yes",">100K","no",7,1
1801,2019-07-01,"female",100,"no preference",8,"swirl","no",">100K","no",8,1
1802,2019-07-01,"female",100,"black",3,"chocolate","yes",">100K","no",7,1
1803,2019-07-01,"male",100,"white",2,"vanilla","yes","Not Reported","no",10,1
1804,2019-07-01,"female",100,"blue",9,"vanilla","no",">100K","no",9,1
1805,2019-07-01,"male",100,"no preference",4,"swirl","yes","Not Reported","no",8,0
1806,2019-07-01,"female",100,"blue",8,"swirl","no",">100K","no",8,1
1807,2019-07-01,"female",100,"red",10,"chocolate","no",">100K","no",10,1
1808,2019-07-01,"male",100,"blue",10,"specialty","no","Not Reported","no",10,1
1809,2019-07-01,"female",100,"white",5,"vanilla","no",">100K","no",7,1
1810,2019-07-01,"female",100,"no preference",4,"specialty","no",">100K","no",4,1
1811,2019-07-01,"female",100,"blue",7,"swirl","no",">100K","no",8,1
1812,2019-07-01,"female",100,"red",3,"vanilla","yes",">100K","no",5,1
1813,2019-07-01,"male",100,"red",1,"vanilla","no","Not Reported","no",6,1
1814,2019-07-01,"female",100,"red",5,"swirl","yes",">100K","no",5,1
1815,2019-07-01,"male",100,"no preference",4,"chocolate","yes","Not Reported","no",8,0
1816,2019-07-01,"female",100,"silver",8,"specialty","no",">100K","no",8,1
1817,2019-07-01,"female",100,"no preference",9,"chocolate","yes",">100K","no",10,1
1818,2019-07-01,"female",100,"red",7,"swirl","yes",">100K","no",10,1
1819,2019-07-01,"female",100,"red",2,"vanilla","no",">100K","no",8,1
1820,2019-07-01,"male",100,"black",4,"no preference","no","Not Reported","no",5,0
1821,2019-07-01,"female",100,"red",2,"vanilla","yes",">100K","no",7,1
1822,2019-07-01,"female",100,"blue",1,"no preference","yes",">100K","no",10,1
1823,2019-07-01,"female",100,"no preference",1,"chocolate","no",">100K","no",10,1
1824,2019-07-01,"female",100,"white",0,"vanilla","yes",">100K","no",9,1
1825,2019-07-01,"female",100,"white",0,"vanilla","yes",">100K","no",3,1
1826,2019-07-01,"female",100,"black",1,"specialty","no",">100K","no",10,1
1827,2019-07-01,"female",100,"black",2,"no preference","no",">100K","no",3,1
1828,2019-07-01,"female",100,"black",2,"chocolate","yes",">100K","no",6,1
1829,2019-07-01,"female",100,"silver",0,"swirl","yes",">100K","no",9,1
1830,2019-07-01,"male",100,"no preference",9,"no preference","yes","Not Reported","no",9,0
1831,2019-07-01,"male",100,"silver",8,"no preference","yes","Not Reported","no",8,1
1832,2019-07-01,"female",100,"blue",8,"chocolate","yes",">100K","no",8,1
1833,2019-07-01,"male",100,"no preference",2,"chocolate","no","Not Reported","no",9,0
1834,2019-07-01,"male",100,"no preference",9,"swirl","yes","Not Reported","no",9,0
1835,2019-07-01,"female",100,"blue",6,"no preference","no",">100K","no",6,1
1836,2019-07-01,"male",100,"no preference",5,"chocolate","no","Not Reported","no",5,0
1837,2019-07-01,"female",100,"blue",4,"swirl","no",">100K","no",5,1
1838,2019-07-01,"female",100,"blue",3,"swirl","yes",">100K","no",9,1
1839,2019-07-01,"female",100,"white",7,"swirl","yes",">100K","no",7,1
1840,2019-07-01,"male",100,"white",6,"chocolate","no","Not Reported","no",8,1
1841,2019-07-01,"male",100,"red",0,"specialty","no","Not Reported","no",3,1
1842,2019-07-01,"female",100,"blue",9,"swirl","yes",">100K","no",10,1
1843,2019-07-01,"female",100,"white",9,"specialty","no",">100K","no",10,1
1844,2019-07-01,"female",100,"black",2,"swirl","no",">100K","no",6,1
1845,2019-07-01,"female",100,"red",6,"swirl","yes",">100K","no",6,1
1846,2019-07-01,"male",100,"white",4,"no preference","no","Not Reported","no",4,1
1847,2019-07-01,"male",100,"white",8,"specialty","no","Not Reported","no",8,1
1848,2019-07-01,"female",100,"blue",4,"specialty","no",">100K","no",8,1
1849,2019-07-01,"male",100,"black",3,"no preference","no","Not Reported","no",8,0
1850,2019-07-01,"female",100,"no preference",3,"vanilla","yes",">100K","no",9,1
1851,2019-07-01,"female",100,"white",7,"no preference","yes",">100K","no",7,1
1852,2019-07-01,"female",100,"blue",9,"no preference","yes",">100K","no",9,1
1853,2019-07-01,"female",100,"red",0,"swirl","yes",">100K","no",1,1
1854,2019-07-01,"female",100,"black",3,"chocolate","yes",">100K","no",3,1
1855,2019-07-01,"female",100,"red",6,"chocolate","no",">100K","no",8,1
1856,2019-07-01,"female",100,"no preference",1,"chocolate","no",">100K","no",10,1
1857,2019-07-01,"female",100,"black",5,"swirl","yes",">100K","no",5,1
1858,2019-07-01,"female",100,"no preference",2,"chocolate","yes",">100K","no",8,1
1859,2019-07-01,"female",100,"no preference",5,"specialty","no",">100K","no",6,1
1860,2019-07-01,"female",100,"black",1,"specialty","no",">100K","no",8,1
1861,2019-07-01,"female",100,"no preference",6,"vanilla","yes",">100K","no",6,1
1862,2019-07-01,"male",100,"black",2,"swirl","yes","Not Reported","no",5,0
1863,2019-07-01,"male",100,"no preference",4,"no preference","no","Not Reported","no",6,0
1864,2019-07-01,"female",100,"silver",8,"chocolate","yes",">100K","no",8,1
1865,2019-07-02,"female",100,"white",6,"vanilla","no",">100K","no",7,1
1866,2019-07-02,"male",100,"no preference",0,"vanilla","no","Not Reported","no",6,0
1867,2019-07-02,"female",100,"blue",7,"vanilla","yes",">100K","no",7,1
1868,2019-07-02,"male",100,"silver",9,"swirl","no","Not Reported","no",9,1
1869,2019-07-02,"male",100,"blue",6,"swirl","no","Not Reported","no",6,0
1870,2019-07-02,"male",100,"white",2,"specialty","no","Not Reported","no",9,1
1871,2019-07-02,"male",100,"red",6,"swirl","yes","Not Reported","no",10,1
1872,2019-07-02,"female",100,"black",10,"swirl","yes",">100K","no",10,1
1873,2019-07-02,"male",100,"white",9,"specialty","no","Not Reported","no",9,1
1874,2019-07-02,"male",100,"no preference",7,"chocolate","yes","Not Reported","no",7,0
1875,2019-07-02,"female",100,"blue",6,"specialty","yes",">100K","no",8,1
1876,2019-07-02,"female",100,"silver",4,"vanilla","no",">100K","no",10,1
1877,2019-07-02,"male",100,"silver",10,"no preference","yes","Not Reported","no",10,1
1878,2019-07-02,"male",100,"white",1,"no preference","no","Not Reported","no",6,0
1879,2019-07-02,"female",100,"red",9,"swirl","yes",">100K","no",9,1
1880,2019-07-02,"female",100,"blue",9,"no preference","yes",">100K","no",9,1
